modulo;orden_mod;subtema;orden_sub;periodo;orden_video;titulo;url;nota
Semanas 1-2 - Clima;1;1. Analisis climatico de ecosistemas;1;2023-II;1;Taller 1. Analisis climatico + zonas de vida;https://universidadmag.sharepoint.com/:v:/s/Ecologa_G1_2023-II/EVNEzo8tMXFMubjrlxcgqu4B2OpJWRWCE8pd6iUoy5Erxg?e=MuM3Ct;Grabacion de la clase (Teams)
Semanas 1-2 - Clima;1;1. Analisis climatico de ecosistemas;1;2025-I;1;Taller 1. Analisis climatico;https://universidadmag.sharepoint.com/:v:/s/Ecologa1_2025-I/IQAnYowYKX1iRKGv1GRZEZoGAVvOuhS7lUpgyEFgceUObmk?e=gdgvVl;Grabacion de la clase (Teams)
Semanas 1-2 - Clima;1;1. Analisis climatico de ecosistemas;1;2026-II;1;;; 
Semanas 5-6 - Exponenciales;2;1. Manejo de Ramas Ecolab y RStudio para modelos exponenciales;1;2025-I;1;Modelos exponenciales de poblaciones;https://universidadmag.sharepoint.com/:v:/s/Ecologa1_2025-I/IQDvDSMjdA11TrGdyNepea-6AQaF6-oX6v4FgloBiQ7fV34?e=JkaVpb;Grabacion de la clase (Teams)
Semanas 5-6 - Exponenciales;2;1. Manejo de Ramas Ecolab y RStudio para modelos exponenciales;1;2026-II;1;;; 
Semanas 6-7 - Logisticos;3;1. Manejo de RStudio para modelos logisticos;1;2024-I;1;Taller 3. Modelos logisticos realizado 2024-I;https://universidadmag.sharepoint.com/:v:/s/Ecologa1_G1_2024-I/EXNZwjoxNx1Dkv8MpVhi28oB634vXeH3yRWo2IJmOyd8qQ?e=L2aEhh;Grabacion de la clase (Teams)
Semanas 6-7 - Logisticos;3;1. Manejo de RStudio para modelos logisticos;1;2025-I;1;;; 
Semanas 6-7 - Logisticos;3;1. Manejo de RStudio para modelos logisticos;1;2026-II;1;;; 
Semanas 8-9 - Tablas de vida y matrices;4;Teoria tablas de vida;1;2023-II;1;Teoria: Tablas de vida y Modelos de estado en poblaciones;https://universidadmag.sharepoint.com/:v:/s/Ecologa_G1_2023-II/ERwmwgwNWitCtQZt6wRXSO0BN2C2gXIaoA85fVpAbVhG4A?e=Yda5pI; 
Semanas 8-9 - Tablas de vida y matrices;4;Teoria tablas de vida;1;2023-II;2;Teoria: Modelos de estado en poblaciones;https://universidadmag.sharepoint.com/:v:/s/Ecologa_G1_2023-II/EdGH5tPkx0xFusi5cjY5DkUBM3-bJ-x0isWI979cKx9TcA?e=wcOcTe; 
Semanas 8-9 - Tablas de vida y matrices;4;Teoria tablas de vida;1;2025-I;1;;; 
Semanas 8-9 - Tablas de vida y matrices;4;Teoria tablas de vida;1;2026-II;1;;; 
Semanas 8-9 - Tablas de vida y matrices;4;Talleres tablas de vida y modelos matriciales;2;2025-I;1;Taller: Tablas de vida (1);https://universidadmag.sharepoint.com/:v:/s/Ecologa1_2025-I/IQBh7bW0aHJRR5lWmdY0PNkqAZqVp3Z9GpY6ghtgHdGMtiQ?e=XTOYDF;Grabacion de la clase (Teams)
Semanas 8-9 - Tablas de vida y matrices;4;Talleres tablas de vida y modelos matriciales;2;2025-I;2;Taller: Modelos de edad (x);https://universidadmag.sharepoint.com/:v:/s/Ecologa1_2025-I/IQDVtmPF_8_9RZi8bSlkEHC9AS0e6CTT9wHcrTgFBN4jGb4?e=ONHVVM;Grabacion de la clase (Teams)
Semanas 8-9 - Tablas de vida y matrices;4;Talleres tablas de vida y modelos matriciales;2;2026-II;1;;; 
Semanas 10-11 - Calotropis;5;1. Tablas de vida y modelos matriciales de Calotropis;1;2024-I;1;Entrenamiento practica Calotropis;https://universidadmag.sharepoint.com/:v:/s/Ecologa1_G1_2024-I/EZEigdFTi8FAtTpFhqBbNi0Bjz5xZRgrvysymFzvWFcOfw?e=TjvbJx;Grabacion de la clase (Teams)
Semanas 10-11 - Calotropis;5;1. Tablas de vida y modelos matriciales de Calotropis;1;2024-I;2;Entrenamiento practica Calotropis (cont.);https://universidadmag.sharepoint.com/:v:/s/Ecologa1_G1_2024-I/EVMJkE0_g6ZJoX1iyocElZQB5-mTBBJQMLxi-Y9IjKfqJg?e=75PIE7;Grabacion de la clase (Teams)
Semanas 10-11 - Calotropis;5;1. Tablas de vida y modelos matriciales de Calotropis;1;2025-I;1;;; 
Semanas 10-11 - Calotropis;5;1. Tablas de vida y modelos matriciales de Calotropis;1;2026-II;1;;; 
