;Especie ;Grupo;M-1;M-2;M-3;M-4;M-5;M-6;M-7;M-8;M-9;M-10;M-11;M-12;M-13;M-14;M-15;M-16;M-17;M-18;M-19;M-20;M-21;M-22;M-23;M-24;M-25;M-26;M-27;M-28;M-29
1;P. chola;1;0,36;0,87;0,25;0,29;0,1;0,12;0,7;0,68;0,73;0,73;1,31;0,59;0,62;0,54;0,32;0,32;0,62;0,37;0,72;25;9;9;11;10;15;7;9;19;27
2;P. chola;1;0,39;0,88;0,27;0,26;0,11;0,12;0,7;0,65;0,73;0,77;1,18;0,54;0,64;0,56;0,3;0,34;0,64;0,39;0,17;25;9;8;13;10;14;8;9;19;29
3;P. chola;1;0,36;0,87;0,25;0,28;0,1;0,11;0,65;0,65;0,73;0,76;1,31;0,51;0,62;0,7;0,44;0,4;0,7;0,36;0,22;27;9;9;12;10;15;7;9;19;27
4;P. chola;1;0,38;0,89;0,27;0,32;0,14;0,15;0,76;0,61;0,73;0,86;1,16;0,59;0,56;0,64;0,39;0,3;0,56;0,34;0,17;28;9;11;13;10;15;7;9;19;28
5;P. chola;1;0,39;0,88;0,27;0,31;0,12;0,14;0,67;0,62;0,69;0,81;1,23;0,58;0,56;0,56;0,34;0,34;0,64;0,34;0,17;27;9;9;13;10;15;7;9;19;27
6;P. chola;1;0,4;0,93;0,29;0,32;0,12;0,14;0,7;0,65;0,73;0,89;1,23;0,59;0,56;0,56;0,34;0,3;0,64;0,3;0,2;28;9;9;12;10;15;8;9;19;27
7;P. chola;1;0,38;0,84;0,27;0,3;0,1;0,11;0,69;0,66;0,71;0,77;1,22;0,58;0,56;0,56;0,34;0,3;0,64;0,3;0,2;27;10;10;13;10;15;7;9;19;28
8;P. chola;1;0,38;0,81;0,28;0,31;0,11;0,11;0,66;0,66;0,71;0,77;1,14;0,58;0,56;0,64;0,3;0,3;0,64;0,34;0,23;26;9;9;12;10;15;8;9;19;27
9;P. chola;1;0,41;0,89;0,27;0,32;0,12;0,14;0,73;0,65;0,7;0,75;1,15;0,61;0,54;0,54;0,32;0,32;0,62;0,28;0,21;28;10;9;11;10;15;7;9;19;27
10;P. chola;1;0,36;0,87;0,25;0,29;0,1;0,12;0,7;0,68;0,73;0,73;1,31;0,59;0,62;0,54;0,32;0,32;0,62;0,37;0,72;25;9;9;11;10;15;7;9;19;28
11;P. chola;1;0,39;0,88;0,27;0,26;0,11;0,12;0,7;0,65;0,73;0,77;1,18;0,54;0,64;0,56;0,3;0,34;0,64;0,39;0,17;24;9;8;13;10;14;8;9;19;29
12;P. chola;1;0,36;0,87;0,25;0,28;0,1;0,11;0,65;0,65;0,73;0,76;1,31;0,51;0,62;0,7;0,44;0,4;0,7;0,36;0,22;27;9;9;12;10;15;7;9;19;27
13;P. conchonious;2;0,28;0,7;0,28;0,22;0,09;0,12;0,55;0,66;0,74;0,74;1,1;0,62;0,48;0,6;0,3;0,3;0,48;0,3;0,18;24;9;9;12;11;12;7;9;19;25
14;P. conchonious;2;0,31;0,8;0,23;0,23;0,11;0,09;0,67;0,71;0,63;0,75;1,01;0,53;0,48;0,7;0,27;0,4;0,57;0,4;0,22;26;9;9;12;11;13;8;9;19;25
15;P. conchonious;2;0,31;0,69;0,21;0,27;0,12;0,14;0,66;0,69;0,77;0,87;1,17;0,59;0,48;0,7;0,27;0,27;0,48;0,4;0,22;26;10;8;12;11;12;7;9;19;25
16;P. conchonious;2;0,29;0,76;0,22;0,24;0,1;0,11;0,62;0,72;0,76;0,99;1,16;0,59;0,48;0,57;0,33;0,27;0,48;0,4;0,18;26;9;9;12;11;12;8;9;19;25
17;P. conchonious;2;0,34;0,79;0,23;0,27;0,12;0,14;0,67;0,71;0,74;0,88;1,09;0,58;0,6;0,6;0,36;0,3;0,51;0,3;0,16;26;9;8;12;11;13;8;9;19;25
18;P. conchonious;2;0,36;0,82;0,25;0,26;0,12;0,14;0,66;0,74;0,7;0,88;1,18;0,57;0,6;0,6;0,36;0,3;0,51;0,3;0,2;24;10;10;11;11;14;8;9;19;25
19;P. conchonious;2;0,31;0,73;0,28;0,27;0,11;0,13;0,73;0,73;0,69;0,82;1,17;0,57;0,51;0,6;0,43;0,3;0,6;0,3;0,16;25;9;9;12;11;12;8;9;19;25
20;P. conchonious;2;0,32;0,75;0,27;0,25;0,12;0,14;0,75;0,71;0,71;0,84;1,19;0,59;0,51;0,51;0,36;0,3;0,51;0,25;0,12;24;9;9;12;11;13;8;9;19;25
21;S. sarana;3;0,47;0,69;0,3;0,32;0,12;0,16;0,96;0,66;0,77;0,83;1,13;0,65;0,65;0,45;0,27;0,3;0,44;0,15;0,22;32;10;11;16;13;15;9;9;19;32
22;S. sarana;3;0,45;0,72;0,27;0,32;0,14;0,17;0,87;0,65;0,75;0,87;1,33;0,64;0,54;0,41;0,33;0,25;0,44;0,12;0,24;30;10;11;16;12;15;9;9;19;32
23;S. sarana;3;0,47;0,76;0,26;0,29;0,11;0,13;0,85;0,57;0,7;0,75;1,21;0,61;0,58;0,46;0,26;0,41;0,54;0,18;0,24;32;10;11;14;12;14;9;9;19;32
