	Atta_sp.1	Atta_sp.2	Azteca_sp.1	Azteca_sp.2	Azteca_sp.3	Azteca_sp.4	Azteca_sp.5	Brachymyrmex_sp.1	Brachymyrmex_sp.2	Brachymyrmex_sp.3	Camponotus_sp.1	Camponotus_sp.10	Camponotus_sp.11	Camponotus_sp.12	Camponotus_sp.2	Camponotus_sp.3	Camponotus_sp.4	Camponotus_sp.5	Camponotus_sp.6	Camponotus_sp.7	Camponotus_sp.8	Camponotus_sp.9	Cephalotes_atratus	Cephalotes_betoi	Cephalotes_brogmeiri	Cephalotes_depressus	Cephalotes_grandinosus	Cephalotes_liepini	Cephalotes_maculatus	Cephalotes_minutus	Cephalotes_pellans	Cephalotes_persimilis	Cephalotes_pusilhos	Cephalotes_sp.11	Crematogaster_sp.1	Crematogaster_sp.2	Crematogaster_sp.3	Crematogaster_sp.4	Crematogaster_sp.5	Crematogaster_sp.6	Dolichoderus_sp.1	Dolichoderus_sp.2	Dolichoderus_sp.3	Dorymyrmex_sp.1	Dorymyrmex_sp.2	Dorymyrmex_sp.3	Dorymyrmex_sp.4	Dorymyrmex_sp.5	Dorymyrmex_sp.6	Dorymyrmex_sp.7	Dorymyrmex_sp.8	Dorymyrmex_sp.9	Ectatomma_tuberculatum	Gnamptogenys_sp.1	Megalomyrmex_sp.1	Myrmelachista_sp.1	Myrmelachista_sp.2	Pseudomyrmex_termitarius	Pseudomyrmex_gracilis	Pseudomyrmex_kuenckeli	Pseudomyrmex_sp.8	Pseudomyrmex_sp.9	Pseudomyrmex_sp.1	Pseudomyrmex_sp.2	Pseudomyrmex_sp.3	Pseudomyrmex_sp.4	Pseudomyrmex_sp.5	Pseudomyrmex_sp.6	Pseudomyrmex_sp.7	Pseudomyrmex_tenuis	Solenopsis_sp.1
MOC_A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MOC_A2	0	0	0	0	0	0	0	30	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	1	0	0	0	1	0	0	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MOC_A3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MOC_A4	0	0	21	1	8	0	0	0	2	0	2	0	0	0	0	4	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	19	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	19	10	0	0	0	1	0	1	0
MOC_A5	0	0	1	0	0	0	0	78	92	34	0	0	0	0	0	7	0	4	0	0	0	0	0	0	2	0	1	0	0	0	0	0	6	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	6	0	0	0	8	5	0	0	1	0	0	1	0
MOC_A6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	5	0	0	0	1	0	0	0	0	0	0	0	0
MOC_A7	0	0	0	0	0	0	0	0	2	0	2	0	0	0	3	1	8	4	0	1	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0
MOC_A8	1	6	0	0	0	0	0	0	0	0	2	0	0	0	9	6	31	2	0	0	0	3	0	1	0	0	1	0	0	0	0	0	6	0	0	5	30	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	10	0	0	0	0	0	0	0
MOC_A9	0	0	3	0	0	1	0	7	7	3	1	0	0	0	13	7	18	7	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	4	0	0	0	0	0	1	0
PERUACU_A1	0	0	4	0	9	2	2	0	3	0	0	0	0	0	2	8	10	10	0	0	0	1	3	3	0	0	0	0	0	3	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	8	1	0	0	0	0	0	0
PERUACU_A2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	13	0	0	0	0	1	1	0	0	0	3	0	0	2	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	3	0	0	0	0	0	8	0	1
