Site;Eye_length_mm;Mandible_length_mm;Scape_length_mm;Leg_length_mm;Weber_length_mm
Rural_7;0.386827573;0.505547576;0.881240739;1.078767818;1.504787935
Rural_8;0.384016907;0.800161807;1.222648186;1.675147131;1.873152912
Rural_9;0.361525785;0.481953791;0.829660647;1.027478753;1.406576023
Unidade_Conservacao_1_A;0.369789878;0.491613738;0.771995034;1.061136843;1.463170228
Unidade_Conservacao_1_P;0.276770616;0.464825997;0.682566251;0.939073203;1.200879925
Unidade_Conservacao_2_A;0.416718388;0.538092242;0.812500495;1.151966773;1.596357679
Unidade_Conservacao_2_P;0.300036785;0.530432182;0.862439528;1.096132939;1.405664514
Unidade_Conservacao_3_A;0.344097194;0.501093061;0.765417274;1.008334208;1.413060287
Unidade_Conservacao_3_P;0.311309881;0.558005892;0.880478898;1.097784699;1.384028139
Unidade_Conservacao_4_P;0.385187089;0.652970238;1.012992647;1.274330834;1.675173407
Urban_2;0.313084239;0.534304027;0.690748089;0.918712588;1.278692349
Urban_4;0.314794621;0.537250027;0.825289147;1.045674877;1.411491931
Urban_5;0.368872417;0.528429048;0.709850133;0.976332428;1.393042985
Urban_6;0.494250156;0.77645792;1.231904982;1.566616307;2.046023948
