Area;Status;Status2;Region;Ant_species;Abundance;Eye_length_(mm);Mandible_length_(mm);Scape_length_(mm);Leg_length_(mm);Weber_length_(mm)
Urban_2;3-Urbano;4-Urban;Montes_Claros;Brachymyrmex_sp.1;1;0.119;0.23;0.442;0.442;0.539
Urban_2;3-Urbano;4-Urban;Montes_Claros;Brachymyrmex_sp.1;2;0.13;0.209;0.334;0.362;0.426
Urban_2;3-Urbano;4-Urban;Montes_Claros;Brachymyrmex_sp.1;3;0.119;0.232;0.437;0.412;0.441
Urban_2;3-Urbano;4-Urban;Montes_Claros;Brachymyrmex_sp.1;4;0.121;0.229;0.449;NA;0.584
Urban_2;3-Urbano;4-Urban;Montes_Claros;Brachymyrmex_sp.1;5;0.133;NA;0.5;NA;0.544
Urban_2;3-Urbano;4-Urban;Montes_Claros;Brachymyrmex_sp.2;1;0.113;0.177;0.388;NA;0.444
Urban_2;3-Urbano;4-Urban;Montes_Claros;Brachymyrmex_sp.2;2;0.138;0.226;0.43;NA;0.561
Urban_2;3-Urbano;4-Urban;Montes_Claros;Camponotus_sp.5;1;0.385;0.685;1.609;1.728;2.52
Urban_2;3-Urbano;4-Urban;Montes_Claros;Camponotus_sp.5;2;0.464;NA;1.639;2.111;2.522
Urban_2;3-Urbano;4-Urban;Montes_Claros;Cephalotes_betoi;1;0.383;NA;NA;0.8;1.273
Urban_2;3-Urbano;4-Urban;Montes_Claros;Cephalotes_betoi;2;0.383;0.366;0.513;0.734;1.257
Urban_2;3-Urbano;4-Urban;Montes_Claros;Cephalotes_betoi;3;0.4;NA;0.583;0.812;1.327
Urban_2;3-Urbano;4-Urban;Montes_Claros;Cephalotes_betoi;4;0.389;NA;NA;0.725;1.332
Urban_2;3-Urbano;4-Urban;Montes_Claros;Cephalotes_betoi;5;0.406;NA;0.559;0.765;1.332
Urban_2;3-Urbano;4-Urban;Montes_Claros;Cephalotes_maculatus;1;0.287;NA;0.397;0.515;0.979
Urban_2;3-Urbano;4-Urban;Montes_Claros;Cephalotes_pusilhos;1;0.263;NA;0.472;0.734;1.039
Urban_2;3-Urbano;4-Urban;Montes_Claros;Crematogaster_sp.3;1;0.145;NA;0.387;0.415;0.615
