Area,Atta_sp.1,Atta_sp.2,Azteca_sp.1,Azteca_sp.2,Azteca_sp.3,Azteca_sp.4,Azteca_sp.5,Brachymyrmex_sp.1,Brachymyrmex_sp.2,Brachymyrmex_sp.3,Camponotus_sp.1,Camponotus_sp.10,Camponotus_sp.11,Camponotus_sp.12,Camponotus_sp.2,Camponotus_sp.3,Camponotus_sp.4,Camponotus_sp.5,Camponotus_sp.6,Camponotus_sp.7,Camponotus_sp.8,Camponotus_sp.9,Cephalotes_atratus,Cephalotes_betoi,Cephalotes_brogmeiri,Cephalotes_depressus,Cephalotes_grandinosus,Cephalotes_liepini,Cephalotes_maculatus,Cephalotes_minutus,Cephalotes_persimilis,Cephalotes_pusilhos,Cephalotes_sp.11,Crematogaster_sp.1,Crematogaster_sp.2,Crematogaster_sp.3,Crematogaster_sp.4,Crematogaster_sp.5,Crematogaster_sp.6,Dolichoderus_sp.1,Dolichoderus_sp.3,Dorymyrmex_sp.1,Dorymyrmex_sp.2,Dorymyrmex_sp.3,Dorymyrmex_sp.4,Dorymyrmex_sp.5,Dorymyrmex_sp.6,Dorymyrmex_sp.7,Dorymyrmex_sp.8,Dorymyrmex_sp.9,Ectatomma_tuberculatum_,Gnamptogenys_sp.1,Megalomyrmex_sp.1,Myrmelachista_sp.1,Myrmelachista_sp.2,Pseudomyrmerx_termitarius,Pseudomyrmex_gracilis,Pseudomyrmex_kuenckeli,Pseudomyrmex_sp.10,Pseudomyrmex_sp.11,Pseudomyrmex_sp.2,Pseudomyrmex_sp.3,Pseudomyrmex_sp.4,Pseudomyrmex_sp.5,Pseudomyrmex_sp.6,Pseudomyrmex_sp.9,Pseudomyrmex_tenuis,Solenopsis_sp.2
Rural_7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Rural_8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Rural_9,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
Unidade_Conservacao_1_A,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
Unidade_Conservacao_1_P,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Unidade_Conservacao_2_A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1
Unidade_Conservacao_2_P,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Unidade_Conservacao_3_A,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
Unidade_Conservacao_3_P,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
Unidade_Conservacao_4_P,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
