Ant_species,Rural_7,Rural_8,Rural_9,Unidade_Conservacao_1_A,Unidade_Conservacao_1_P,Unidade_Conservacao_2_A,Unidade_Conservacao_2_P,Unidade_Conservacao_3_A,Unidade_Conservacao_3_P,Unidade_Conservacao_4_P,Urban_2,Urban_4,Urban_5,Urban_6
Atta_sp.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Atta_sp.2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Azteca_sp.1,0,0,5,7,2,0,1,0,4,0,0,6,0,0
Azteca_sp.2,0,0,0,0,0,0,0,12,0,0,0,1,0,0
Azteca_sp.3,0,0,0,2,0,0,0,0,0,0,0,2,0,0
Azteca_sp.4,0,0,1,2,1,0,0,0,0,0,0,0,0,0
Azteca_sp.5,0,0,0,0,1,0,0,3,0,0,0,0,0,0
Brachymyrmex_sp.1,0,0,7,0,0,0,0,0,0,0,6,0,4,0
Brachymyrmex_sp.2,0,0,7,0,0,0,0,0,0,0,0,0,2,0
Brachymyrmex_sp.3,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Camponotus_sp.1,1,0,0,0,0,0,3,0,0,0,0,1,0,2
Camponotus_sp.2,2,0,2,1,0,1,0,4,0,0,0,0,0,0
Camponotus_sp.3,0,11,3,1,0,1,0,0,0,0,0,7,7,5
Camponotus_sp.4,8,6,8,5,0,13,1,7,7,5,0,0,0,0
Camponotus_sp.5,6,0,8,9,1,0,1,4,3,4,1,2,6,3
Camponotus_sp.6,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Camponotus_sp.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Camponotus_sp.9,0,1,0,1,0,1,0,1,0,1,0,0,0,0
Cephalotes_atratus,0,0,0,3,9,1,0,0,0,0,0,0,0,0
Cephalotes_betoi,0,0,0,5,0,0,0,1,0,0,2,0,0,0
Cephalotes_depressus,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cephalotes_grandinosus,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cephalotes_minutus,0,0,0,0,0,1,0,3,0,0,0,0,0,0
Cephalotes_persimilis,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cephalotes_pusilhos,0,0,0,15,3,5,1,6,0,0,0,0,0,0
Cephalotes_sp.11,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Crematogaster_sp.1,0,0,0,0,10,0,2,0,9,0,0,8,0,0
Crematogaster_sp.2,0,5,0,0,6,0,2,0,0,11,0,11,0,0
Crematogaster_sp.3,0,5,0,0,4,0,2,0,2,0,6,1,0,0
Crematogaster_sp.4,0,0,0,1,0,0,0,0,0,5,5,0,1,0
Crematogaster_sp.5,0,0,0,0,4,0,4,0,1,0,0,0,0,0
Crematogaster_sp.6,0,0,0,0,7,0,4,0,0,0,0,0,0,0
Dolichoderus_sp.1,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Dolichoderus_sp.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dorymyrmex_sp.2,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Dorymyrmex_sp.3,0,0,0,0,0,0,8,0,3,0,0,0,0,0
Dorymyrmex_sp.4,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Ectatomma_tuberculatum_,0,1,0,0,0,0,0,0,0,9,1,1,3,1
Gnamptogenys_sp.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Megalomyrmex_sp.1,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Myrmelachista_sp.1,0,0,0,0,0,0,0,3,0,0,0,13,0,0
Pseudomyrmex_gracilis,1,6,0,0,0,1,0,0,5,0,0,0,9,2
Pseudomyrmex_sp.10,0,0,0,1,1,3,0,0,3,3,0,0,0,0
Pseudomyrmex_sp.11,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Pseudomyrmex_sp.2,1,0,2,7,2,3,0,0,0,0,0,8,6,0
Pseudomyrmex_sp.3,3,1,3,11,0,0,1,0,0,0,0,8,2,0
Pseudomyrmex_sp.6,0,0,0,0,0,0,6,0,0,0,0,0,1,0
Pseudomyrmex_sp.9,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Pseudomyrmex_tenuis,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Solenopsis_sp.2,0,0,0,0,0,1,0,0,4,0,0,0,0,0
