Ant_species,Eye_length_(mm),Mandible_length_(mm),Scape_length_(mm),Leg_length_(mm),Weber_length_(mm)
Atta_sp.1,0.476,2.516,3.125,5.671,4.146
Atta_sp.2,0.2916666666666667,1.4813333333333334,2.2243333333333335,3.5256666666666665,2.573
Azteca_sp.1,0.14663636363636365,0.3538181818181818,0.5403636363636364,0.6961818181818182,0.8326363636363637
Azteca_sp.2,0.16575,0.4275,0.62425,0.782,1.039
Azteca_sp.3,0.1395,0.34199999999999997,0.5275000000000001,0.597,0.7545
Azteca_sp.4,0.19933333333333333,0.5833333333333334,0.6663333333333333,0.9693333333333333,1.3256666666666665
Azteca_sp.5,0.15,0.38366666666666666,0.54,0.7036666666666666,0.8886666666666666
Brachymyrmex_sp.1,0.13183333333333333,0.279,0.4046666666666667,0.4071666666666667,0.4945
Brachymyrmex_sp.2,0.13333333333333333,0.2723333333333333,0.466,0.4693333333333333,0.5006666666666667
Brachymyrmex_sp.3,0.126,0.236,0.398,0.395,0.413
Camponotus_sp.1,0.43,0.6857500000000001,1.5707499999999999,1.674,2.22825
Camponotus_sp.2,0.40850000000000003,0.6405,1.5498333333333332,1.6483333333333334,1.9658333333333333
Camponotus_sp.3,0.3998666666666667,0.6491333333333333,1.4092666666666667,1.6272,2.0814666666666666
Camponotus_sp.4,0.37547368421052635,0.6020526315789474,1.4184210526315788,1.474578947368421,1.7184210526315788
Camponotus_sp.5,0.4480476190476191,0.7254285714285714,1.5349047619047618,1.8937142857142857,2.333809523809524
Camponotus_sp.6,0.489,0.922,1.998,2.263,3.135
Camponotus_sp.7,0.265,0.394,0.814,0.771,1.279
Camponotus_sp.9,0.39180000000000004,0.659,1.542,1.7426,2.0468
Cephalotes_atratus,0.6334000000000001,1.1318,1.4886,3.1508,3.6436
Cephalotes_betoi,0.36475,0.40875,0.494,0.72925,1.15175
Cephalotes_depressus,0.377,0.493,0.516,0.874,1.34
Cephalotes_grandinosus,0.222,0.38,0.318,0.38,0.76
Cephalotes_minutus,0.32066666666666666,0.3253333333333333,0.38766666666666666,0.6006666666666667,0.931
Cephalotes_persimilis,0.299,0.347,0.416,0.625,1.14
Cephalotes_pusilhos,0.3266363636363636,0.4787272727272727,0.5307272727272727,0.9019090909090909,1.3082727272727273
Cephalotes_sp.11,0.31,0.442,0.507,0.8625,1.2294999999999998
Crematogaster_sp.1,0.15189999999999998,0.3601,0.4471,0.5621,0.7035
Crematogaster_sp.2,0.15136363636363637,0.36809090909090914,0.46536363636363637,0.5526363636363636,0.7226363636363636
Crematogaster_sp.3,0.149375,0.346125,0.439375,0.5095,0.717875
Crematogaster_sp.4,0.158,0.3312,0.514,0.5104,0.6436
Crematogaster_sp.5,0.17049999999999998,0.4075,0.48425,0.5812499999999999,0.7982499999999999
Crematogaster_sp.6,0.2405,0.58675,0.635,0.831,1.161
Dolichoderus_sp.1,0.3383333333333334,0.6946666666666667,1.3046666666666666,1.602,2.0243333333333333
Dolichoderus_sp.3,0.343,0.658,1.232,1.446,1.876
Dorymyrmex_sp.2,0.265,0.538,1.016,1.31,1.22
Dorymyrmex_sp.3,0.2352,0.48979999999999996,0.9468,1.2944,1.144
Dorymyrmex_sp.4,0.2465,0.512,0.9615,1.2694999999999999,1.184
Ectatomma_tuberculatum_,0.5954285714285714,1.8545714285714285,2.2704285714285715,3.1565714285714286,3.8422857142857145
Gnamptogenys_sp.1,0.365,0.941,1.005,1.477,1.993
Megalomyrmex_sp.1,0.1385,0.385,0.6154999999999999,0.802,0.921
Myrmelachista_sp.1,0.10833333333333334,0.21416666666666664,0.23966666666666667,0.29283333333333333,0.5808333333333333
Pseudomyrmex_gracilis,0.8275454545454545,0.7040909090909091,0.6649999999999999,1.1965454545454544,2.0786363636363636
Pseudomyrmex_sp.10,0.422875,0.33225,0.27875,0.49975,1.076375
Pseudomyrmex_sp.11,0.607,0.4455,0.357,0.6525000000000001,1.447
Pseudomyrmex_sp.2,0.4617,0.3601,0.3015,0.5266,1.1788
Pseudomyrmex_sp.3,0.44408333333333333,0.3486666666666667,0.26558333333333334,0.5388333333333334,1.1605833333333333
Pseudomyrmex_sp.6,0.53425,0.46825,0.36325,0.68575,1.323
Pseudomyrmex_sp.9,0.548,0.631,0.611,1.156,1.879
Pseudomyrmex_tenuis,0.7955000000000001,0.6775,0.6555,1.207,1.935
Solenopsis_sp.2,0.0535,0.1885,0.27149999999999996,0.245,0.4655
