species	genus	subfamily	family
Atta_sp.1	Atta	Myrmicinae	Formicidae
Atta_sp.2	Atta	Myrmicinae	Formicidae
Azteca_sp.1	Azteca	Dolichoderinae	Formicidae
Azteca_sp.2	Azteca	Dolichoderinae	Formicidae
Azteca_sp.3	Azteca	Dolichoderinae	Formicidae
Azteca_sp.4	Azteca	Dolichoderinae	Formicidae
Azteca_sp.5	Azteca	Dolichoderinae	Formicidae
Brachymyrmex_sp.1	Brachymyrmex	Formicinae	Formicidae
Brachymyrmex_sp.2	Brachymyrmex	Formicinae	Formicidae
Brachymyrmex_sp.3	Brachymyrmex	Formicinae	Formicidae
Camponotus_sp.1	Camponotus	Formicinae	Formicidae
Camponotus_sp.10	Camponotus	Formicinae	Formicidae
Camponotus_sp.11	Camponotus	Formicinae	Formicidae
Camponotus_sp.12	Camponotus	Formicinae	Formicidae
Camponotus_sp.2	Camponotus	Formicinae	Formicidae
Camponotus_sp.3	Camponotus	Formicinae	Formicidae
Camponotus_sp.4	Camponotus	Formicinae	Formicidae
Camponotus_sp.5	Camponotus	Formicinae	Formicidae
Camponotus_sp.6	Camponotus	Formicinae	Formicidae
Camponotus_sp.7	Camponotus	Formicinae	Formicidae
Camponotus_sp.8	Camponotus	Formicinae	Formicidae
Camponotus_sp.9	Camponotus	Formicinae	Formicidae
Cephalotes_atratus	Cephalotes	Myrmicinae	Formicidae
Cephalotes_betoi	Cephalotes	Myrmicinae	Formicidae
Cephalotes_brogmeiri	Cephalotes	Myrmicinae	Formicidae
Cephalotes_depressus	Cephalotes	Myrmicinae	Formicidae
Cephalotes_grandinosus	Cephalotes	Myrmicinae	Formicidae
Cephalotes_liepini	Cephalotes	Myrmicinae	Formicidae
Cephalotes_maculatus	Cephalotes	Myrmicinae	Formicidae
Cephalotes_minutus	Cephalotes	Myrmicinae	Formicidae
Cephalotes_pellans	Cephalotes	Myrmicinae	Formicidae
Cephalotes_persimilis	Cephalotes	Myrmicinae	Formicidae
Cephalotes_pusilhos	Cephalotes	Myrmicinae	Formicidae
Cephalotes_sp.11	Cephalotes	Myrmicinae	Formicidae
Crematogaster_sp.1	Crematogaster_	Myrmicinae	Formicidae
Crematogaster_sp.2	Crematogaster_	Myrmicinae	Formicidae
Crematogaster_sp.3	Crematogaster_	Myrmicinae	Formicidae
Crematogaster_sp.4	Crematogaster_	Myrmicinae	Formicidae
Crematogaster_sp.5	Crematogaster_	Myrmicinae	Formicidae
Crematogaster_sp.6	Crematogaster_	Myrmicinae	Formicidae
Dolichoderus_sp.1	Dolichoderus	Dolichoderinae	Formicidae
Dolichoderus_sp.2	Dolichoderus	Dolichoderinae	Formicidae
Dolichoderus_sp.3	Dolichoderus	Dolichoderinae	Formicidae
Dorymyrmex_sp.1	Dorymyrmex	Dolichoderinae	Formicidae
Dorymyrmex_sp.2	Dorymyrmex	Dolichoderinae	Formicidae
Dorymyrmex_sp.3	Dorymyrmex	Dolichoderinae	Formicidae
Dorymyrmex_sp.4	Dorymyrmex	Dolichoderinae	Formicidae
Dorymyrmex_sp.5	Dorymyrmex	Dolichoderinae	Formicidae
Dorymyrmex_sp.6	Dorymyrmex	Dolichoderinae	Formicidae
Dorymyrmex_sp.7	Dorymyrmex	Dolichoderinae	Formicidae
Dorymyrmex_sp.8	Dorymyrmex	Dolichoderinae	Formicidae
Dorymyrmex_sp.9	Dorymyrmex	Dolichoderinae	Formicidae
Ectatomma_tuberculatum	Ectatomma	Ectatomminae	Formicidae
Gnamptogenys_sp.1	Gnamptogenys	Ectatomminae	Formicidae
Megalomyrmex_sp.1	Megalomyrmex	Myrmicinae	Formicidae
Myrmelachista_sp.1	Myrmelachista	Formicinae	Formicidae
Myrmelachista_sp.2	Myrmelachista	Formicinae	Formicidae
Pseudomyrmerx_termitarius	Pseudomyrmex	Pseudomyrmecinae	Formicidae
Pseudomyrmex_gracilis	Pseudomyrmex	Pseudomyrmecinae	Formicidae
Pseudomyrmex_kuenckeli	Pseudomyrmex	Pseudomyrmecinae	Formicidae
Pseudomyrmex_tenuis	Pseudomyrmex	Pseudomyrmecinae	Formicidae
Pseudomyrmex_sp.1	Pseudomyrmex	Pseudomyrmecinae	Formicidae
Pseudomyrmex_sp.2	Pseudomyrmex	Pseudomyrmecinae	Formicidae
Pseudomyrmex_sp.3	Pseudomyrmex	Pseudomyrmecinae	Formicidae
Pseudomyrmex_sp.4	Pseudomyrmex	Pseudomyrmecinae	Formicidae
Pseudomyrmex_sp.5	Pseudomyrmex	Pseudomyrmecinae	Formicidae
Pseudomyrmex_sp.6	Pseudomyrmex	Pseudomyrmecinae	Formicidae
Pseudomyrmex_sp.7	Pseudomyrmex	Pseudomyrmecinae	Formicidae
Pseudomyrmex_sp.8	Pseudomyrmex	Pseudomyrmecinae	Formicidae
Pseudomyrmex_sp.9	Pseudomyrmex	Pseudomyrmecinae	Formicidae
Solenopsis_sp.1	Solenopsis	Myrmicinae	Formicidae
