Ant_species,Eye_length_mm,Mandible_length_mm,Scape_length_mm,Leg_length_mm,Weber_length_mm
Atta_sp.1,0.476,2.516,3.125,5.671,4.146
Atta_sp.2,0.3056,1.4813333333333334,2.2524,3.5664000000000002,2.6016000000000004
Azteca_sp.1,0.14763636363636365,0.3538181818181818,0.54025,0.68035,0.824409090909091
Azteca_sp.2,0.16533333333333333,0.4275,0.5915,0.7657999999999999,0.9926666666666666
Azteca_sp.3,0.156,0.37825,0.5832222222222222,0.687,0.8841111111111111
Azteca_sp.4,0.21280000000000002,0.5609999999999999,0.6839999999999999,0.9846,1.3328
Azteca_sp.5,0.16199999999999998,0.38366666666666666,0.5618000000000001,0.7041999999999999,0.9179999999999999
Brachymyrmex_sp.1,0.13285,0.27185714285714285,0.43794736842105264,0.4338823529411765,0.51505
Brachymyrmex_sp.2,0.13033333333333333,0.244,0.45858333333333334,0.46825,0.5160526315789473
Brachymyrmex_sp.3,0.13428571428571429,0.236,0.4404,0.46275,0.511375
Camponotus_sp.1,0.40149999999999997,0.6578333333333334,1.5687,1.6103999999999998,2.036153846153846
Camponotus_sp.10,0.381,,1.903,1.888,2.386
Camponotus_sp.11,0.25780000000000003,,0.9390000000000001,0.9223333333333334,1.2704
Camponotus_sp.12,0.274,,0.852,0.836,1.229
Camponotus_sp.2,0.3837894736842105,0.6371428571428571,1.4835263157894738,1.5806666666666667,1.858421052631579
Camponotus_sp.3,0.41345454545454546,0.6566875,1.435935483870968,1.718,2.170147058823529
Camponotus_sp.4,0.38578048780487806,0.5995714285714285,1.4415833333333332,1.5211219512195122,1.7894285714285716
Camponotus_sp.5,0.44477777777777777,0.7254285714285714,1.5196976744186046,1.8561249999999998,2.30656
Camponotus_sp.6,0.495,0.922,2.0175,2.3449999999999998,3.0505
Camponotus_sp.7,0.265,0.394,0.814,0.771,1.279
Camponotus_sp.8,0.382,,1.647,1.646,2.126
Camponotus_sp.9,0.37654545454545457,0.6463333333333333,1.4256,1.5923333333333334,1.975
Cephalotes_atratus,0.6452727272727272,1.134857142857143,1.4834444444444443,3.162181818181818,3.647636363636364
Cephalotes_betoi,0.37773333333333337,0.40875,0.5027272727272728,0.7553333333333333,1.213
Cephalotes_brogmeiri,0.439,,0.528,0.9410000000000001,1.4725000000000001
Cephalotes_depressus,0.363,0.493,0.5539999999999999,0.839,1.3463333333333332
Cephalotes_grandinosus,0.22966666666666669,0.38,0.3423333333333333,0.45133333333333336,0.8686666666666666
Cephalotes_liepini,0.246,,0.414,0.526,1.057
Cephalotes_maculatus,0.255,,0.397,0.4945,0.8795
Cephalotes_minutus,0.328,0.34175,0.429,0.668,1.0431666666666668
Cephalotes_persimilis,0.2995,0.347,0.44999999999999996,0.634,1.1364999999999998
Cephalotes_pusilhos,0.31825641025641027,0.4670714285714285,0.5042142857142857,0.854945945945946,1.226820512820513
Cephalotes_sp.11,0.31,0.442,0.507,0.8625,1.2294999999999998
Crematogaster_sp.1,0.156,0.35545454545454547,0.4819473684210526,0.5799000000000001,0.7453000000000001
Crematogaster_sp.2,0.15606896551724136,0.3648571428571428,0.4804285714285714,0.5537083333333334,0.7400344827586206
Crematogaster_sp.3,0.14826923076923076,0.3467777777777778,0.4436538461538462,0.5054285714285714,0.7006923076923077
