plotID,standAgeEstimate_yr,stoneContent_g_cm^-3,bulkDensity_g_cm^-3,pH,sand_%,silt_%,clay_%,deltaN15_perMil,delta13C_perMil,Al_mg_kg^-1,B_mg_kg^-1,Ca_mg_kg^-1,Cr_mg_kg^-1,Cu_mg_kg^-1,Fe_mg_kg^-1,K_mg_kg^-1,Mg_mg_kg^-1,Mn_mg_kg^-1,Na_mg_kg^-1,Ni_mg_kg^-1,P_mg_kg^-1,Zn_mg_kg^-1,N_%,C_%
1,5,0.034651042,1.159003384,5.3,30.6,37.7,31.8,5.23,-18.68,47078.59649,13.14819649,1792.162807,11.14927719,43.86967018,38698.70877,393.4213333,995.269193,516.5941053,308.6593684,12.3490386,30.32701754,28.63034386,0.124798306,1.4924129
2,30,0.107430556,0.808139464,5.43,32.6,41.1,26.3,4.82,-26.7,41942.27711,17.6997992,1931.672791,8.831158635,40.05256325,41916.24799,630.3731426,1149.758133,960.7659237,238.0414759,11.18835542,30.8184739,41.67782129,0.186421628,2.355566397
3,18,0.326927083,0.580958725,5.66,45.6,34.2,20.1,3.54,-26.99,45385.4352,16.84047551,4125.333929,9.07355,35.77820816,32667.69286,616.5166173,1223.191939,1262.307449,608.4126327,148.9614337,122.0695204,50.82103469,0.280240814,3.609950837
4,5,0.010763889,1.198451627,5.12,25.4,39.7,35,5.97,-21.13,69365.53608,17.76526701,1575.878247,11.03881649,56.8738567,36890.95155,521.1607216,1094.216907,694.7478969,348.8341649,18.85044948,37.63366598,36.35308763,0.152521986,1.950869509
5,30,0.007274306,0.719005572,5.55,32.9,40.5,26.6,5.76,-26.65,61229.81551,18.25816791,5041.152139,7.968359893,48.41645936,30792.69091,644.4720428,1283.280963,1186.770107,421.167754,9.889931016,202.2513048,51.48902781,0.425275531,5.211784089
6,18,0.162604167,0.637717549,5.38,42.6,35.4,21.9,3.64,-26.67,43242.54071,15.13838505,3465.330466,7.268136201,35.58412698,37773.43779,622.711787,1017.810384,1043.940195,372.9133026,12.43357399,97.33563134,48.08344291,0.291308888,3.526163461
7,10,0.1059375,0.808626924,5.04,36.6,38,25.4,5.43,-18.65,47258.07673,15.69430992,1553.989038,7.331300448,38.09602392,34742.84006,750.8312905,1248.155456,616.8801196,493.5465869,10.07043348,30.6875137,50.34957648,0.15646506,1.997439292
8,25,0.140390625,0.675640953,5.35,38.6,39.8,21.6,3.71,-26.74,26940.6742,12.36362048,3129.788353,8.335982932,35.78401054,31113.86396,581.5746436,1367.566968,1039.970532,342.4219679,5.428057731,78.66369127,39.7762997,0.30081665,3.370782896
9,5,0.097743056,1.158616456,5.19,29.6,43.8,26.6,4.76,-22.25,35057.40628,12.76855826,1785.002837,8.171135765,30.40333992,22222.93516,445.3959017,772.2001368,279.491155,427.7848075,8.502759878,30.48470111,18.01275076,0.110771902,1.256780988
10,15,0.106458333,0.87858315,5.47,35.5,44.7,19.8,3.31,-26.6,31650.93095,16.53271724,1832.06497,5.48621623,21.68768246,23443.72429,608.2982409,1112.87994,586.6743397,469.6460333,7.52413004,30.45040323,40.14515323,0.119982983,1.489433533
