observationID,plotID,forestType,treeNumber,family,genus,species,multiStem,stem1_DBH_cm,stem2_DBH_cm,stem3_DBH_cm,stem4_DBH_cm,stem5_DBH_cm,stem6_DBH_cm,stem7_DBH_cm,stem8_DBH_cm
1,1,SROAK,1,Verbenaceae,Rehdera,trinervis,no,12.8,NA,NA,NA,NA,NA,NA,NA
2,1,SROAK,2,Fagaceae,Quercus,oleoides,no,19.7,NA,NA,NA,NA,NA,NA,NA
3,1,SROAK,3,Fagaceae,Quercus,oleoides,no,12.6,NA,NA,NA,NA,NA,NA,NA
4,1,SROAK,4,Malpighiaceae,Byrsonima,crassifolia,no,14.4,NA,NA,NA,NA,NA,NA,NA
5,2,SROAK,1,Myrsinaceae,Ardisia,revoluta,no,11.7,NA,NA,NA,NA,NA,NA,NA
6,2,SROAK,2,Dilleniaceae,Curatella,americana,no,11.9,NA,NA,NA,NA,NA,NA,NA
7,2,SROAK,3,Bixacea,Cochlospermum,vitifolium,no,13.4,NA,NA,NA,NA,NA,NA,NA
8,2,SROAK,4,Fagaceae,Quercus,oleoides,no,33.2,NA,NA,NA,NA,NA,NA,NA
9,2,SROAK,5,Fagaceae,Quercus,oleoides,no,33,NA,NA,NA,NA,NA,NA,NA
10,2,SROAK,6,Burseraceae,Bursera,tomentosa,no,12.3,NA,NA,NA,NA,NA,NA,NA
11,2,SROAK,7,Myrsinaceae,Ardisia,revoluta,no,14.3,NA,NA,NA,NA,NA,NA,NA
12,2,SROAK,8,Myrsinaceae,Ardisia,revoluta,no,10.7,NA,NA,NA,NA,NA,NA,NA
13,2,SROAK,9,Fagaceae,Quercus,oleoides,no,18.5,NA,NA,NA,NA,NA,NA,NA
14,2,SROAK,10,Fagaceae,Quercus,oleoides,no,58.5,NA,NA,NA,NA,NA,NA,NA
15,2,SROAK,11,Verbenaceae,Rehdera,trinervis,no,11.3,NA,NA,NA,NA,NA,NA,NA
16,2,SROAK,12,Fagaceae,Quercus,oleoides,no,48,NA,NA,NA,NA,NA,NA,NA
17,2,SROAK,13,Salicaceae,Zuelania,guidonia,no,29.3,NA,NA,NA,NA,NA,NA,NA
18,2,SROAK,14,Salicaceae,Zuelania,guidonia,no,13.5,NA,NA,NA,NA,NA,NA,NA
19,2,SROAK,15,Fagaceae,Quercus,oleoides,no,10.1,NA,NA,NA,NA,NA,NA,NA
20,2,SROAK,16,Malvaceae,Luehea,speciosa,no,11.7,NA,NA,NA,NA,NA,NA,NA
21,2,SROAK,17,Salicaceae,Zuelania,guidonia,no,18.8,NA,NA,NA,NA,NA,NA,NA
22,2,SROAK,18,Bixacea,Cochlospermum,vitifolium,no,11.2,NA,NA,NA,NA,NA,NA,NA
23,2,SROAK,19,Rubiaceae,Genipa,americana,no,11.4,NA,NA,NA,NA,NA,NA,NA
24,2,SROAK,20,Fagaceae,Quercus,oleoides,no,10.4,NA,NA,NA,NA,NA,NA,NA
25,2,SROAK,21,Bixacea,Cochlospermum,vitifolium,no,19.1,NA,NA,NA,NA,NA,NA,NA
26,2,SROAK,22,Verbenaceae,Rehdera,trinervis,no,13.2,NA,NA,NA,NA,NA,NA,NA
27,2,SROAK,23,Verbenaceae,Rehdera,trinervis,no,14.4,NA,NA,NA,NA,NA,NA,NA
28,2,SROAK,24,Fagaceae,Quercus,oleoides,no,16,NA,NA,NA,NA,NA,NA,NA
29,2,SROAK,25,Verbenaceae,Rehdera,trinervis,no,21.7,NA,NA,NA,NA,NA,NA,NA
30,2,SROAK,26,Myrsinaceae,Ardisia,revoluta,no,11.3,NA,NA,NA,NA,NA,NA,NA
31,2,SROAK,27,Myrsinaceae,Ardisia,revoluta,no,10.9,NA,NA,NA,NA,NA,NA,NA
32,2,SROAK,28,Fagaceae,Quercus,oleoides,no,42.3,NA,NA,NA,NA,NA,NA,NA
33,2,SROAK,29,Fagaceae,Quercus,oleoides,no,39.7,NA,NA,NA,NA,NA,NA,NA
34,2,SROAK,30,Myrsinaceae,Ardisia,revoluta,no,10.2,NA,NA,NA,NA,NA,NA,NA
35,2,SROAK,31,Fagaceae,Quercus,oleoides,no,52.2,NA,NA,NA,NA,NA,NA,NA
36,2,SROAK,32,Rubiaceae,Genipa,americana,no,12.3,NA,NA,NA,NA,NA,NA,NA
