family,genus,species,leaf habit,leaf type,mean specific leaf area (cm^2 g^-1),mean leaf area (cm^2),mean leaf dry-matter content (g g^-1),mean wood density (g cm^-3),mean foliar delta13C (perMil),mean foliar phosphorus (P; %),mean foliar nitrogen (P; %),mean foliar carbon (P; %),foliar carbon to nitrogen ratio,foliar nitrogen to phosphorus ratio,foliar carbon to phosphorus ratio,mean seed mass (g),dispersal syndrome,maximum observed height (m),mean wood vessel diameter (mm),mean xylem vessel density (# vessels cm^-3)
Fabaceae,Acosmium,panamensis,semideciduous,compound,92.1901919,90.45777778,0.418412169,0.76830896,-27.860463,0.06807827,2.92575124,48.9632533,17.0188085,43.4705116,719.2199993,0.024085499,windOrGravity,20.3,0.210925939,6.144310184
Fabaceae,Albizia,adinocephala,deciduous,compound,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,windOrGravity,32.1,NA,NA
Fabaceae,Albizia,niopoides,deciduous,compound,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,windOrGravity,33,NA,NA
Fabaceae,Albizia,saman,semideciduous,compound,67.0647513,250.26,0.490909243,0.53941858,-28.126856,0.09692937,3.28201235,52.2937969,15.9852031,34.4355367,539.5041451,0.178855556,animals,24.9,NA,NA
Sapindaceae,Allophyllus,occidentalis,deciduous,compound,112.622068,123.7522222,0.405209352,0.5518278,-31.180293,0.12698813,2.77536522,45.7100881,16.6320504,22.3617001,359.9555966,0.062357143,animals,16,NA,NA
Annonaceae,Annona,purpurea,deciduous,simple,163.450284,225.0366667,0.364708794,0.626158,-30.657376,0.11311413,2.81854207,47.9641912,17.1354359,25.2225818,424.0335951,NA,animals,7,NA,NA
Annonaceae,Annona,reticulata,deciduous,simple,134.176103,150.2233333,0.308131567,0.50278067,-29.838479,0.14234967,3.50438372,45.9759234,13.1443011,24.6157735,322.9787846,NA,all,17.6,NA,NA
Tiliaceae,Apeiba,tibourbou,deciduous,simple,114.253116,155.8288889,0.330488811,0.20489296,-30.382436,0.1006042,2.17293504,46.7914605,21.8725562,21.6789949,465.1044439,0.005983334,animals,10.6,NA,NA
Myrsinaceae,Ardisia,revoluta,evergreen,simple,72.0018409,30.37666667,0.354449009,0.69223065,-30.057018,0.0852796,1.44853705,47.0226664,32.5775926,16.98573926,551.3940778,0.075033889,animals,10.3,0.10136018,26.83834689
Anacardiaceae,Astronium,graveolens,semideciduous,compound,106.703347,161.8466667,0.47287282,0.85125909,-28.691889,0.18701887,2.53816249,47.0746633,18.932296,17.7302079,251.7107675,0.022452778,windOrGravity,20.9,NA,NA
Fabaceae,Ateleia,herberth smithii,deciduous,compound,79.0816299,142.4677778,0.457513502,0.87234689,-29.255406,0.1033956,3.26606658,48.1193672,14.7853392,32.2116339,465.39086,0.019192308,windOrGravity,24.8,0.189804411,2.96682406
Fabaceae,Bauhinia,ungulata,deciduous,compound,146.738525,42.99555556,0.42783625,0.79115067,-29.691699,0.11491773,2.92842293,49.858578,17.2161082,25.7608985,433.8632342,0.04275,windOrGravity,9.8,NA,NA
Moraceae,Brosimum,alicastrum,evergreen,simple,95.8950014,43.67833333,0.485205963,0.75952145,-29.634397,0.0966331,2.09057196,37.5971841,18.3237523,21.6911049,389.071489,0.79,animals,42.1,NA,NA
Burseraceae,Bursera,simarouba,deciduous,compound,90.2138266,224.0826667,0.364606733,0.35997774,-28.202977,0.10957022,1.78715453,42.2127696,24.4851788,17.2928756,385.2576877,0.438716667,animals,27,0.216860856,5.724448989
Burseraceae,Bursera,tomentosa,deciduous,compound,82.6675558,54.41466667,0.439528527,0.43768805,-29.472667,0.09409584,1.37897193,42.8120461,31.2001327,14.2689057,454.9834095,NA,animals,11.7,0.160580864,7.721349798
Malpighiaceae,Byrsonima,crassifolia,semideciduous,simple,68.5653568,38.49,0.42496334,0.61395183,-28.867279,0.05976237,1.35406555,50.0266402,37.7148592,23.9139745,837.0926421,0.1045,animals,11.9,0.132914203,11.52497039
Rubiaceae,Calycophyllum,candidissimum,deciduous,simple,117.948688,58.74466667,0.339591373,0.77475077,-28.866104,0.09102702,1.4310346,47.4283668,33.6547872,16.6360746,521.0361363,0.008733333,windOrGravity,27.6,0.071449986,31.51472551
Capparaceae,Capparis,indica,evergreen,simple,61.0256137,22.32333333,0.435763126,0.553181,-27.234081,0.0690425,2.82155121,41.7027262,14.915686,40.8668749,604.0152978,NA,all,16,NA,NA
Salicaceae,Casearia,corymbosa,deciduous,simple,112.497136,51.12666667,0.459153497,0.60729888,-30.261689,0.1154132,2.50135732,44.7310823,17.9623308,21.673061,387.5733651,NA,animals,8,NA,NA
Salicaceae,Casearia,silvestris,evergreen,simple,140.504199,16.27166667,0.484609135,0.63600814,-30.634091,0.1060077,2.39618004,44.9328556,18.8113465,22.766533,423.864074,0.004440909,all,11.8,NA,NA
Meliaceae,Cedrela,odorata,deciduous,compound,101.36324,426.07,0.385858096,0.44781739,-29.548575,0.2030783,2.89655153,44.0145901,15.4446467,15.7001802,216.7370423,0.025869752,windOrGravity,37.5,0.47340052,1.643164095
Rubiaceae,Chomelia,spinosa,deciduous,simple,152.691681,20.66,0.400848175,0.57471568,-30.091253,0.11790643,2.62802247,49.937418,19.4752116,21.2612889,423.534306,NA,animals,11,0.091997009,24.39849717
Polygonaceae,Coccoloba,caracasana,deciduous,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,animals,11.5,NA,NA
Polygonaceae,Coccoloba,guanacastensis,deciduous,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,animals,14,NA,NA
Cochlospermaceae,Cochlospermun,vitifolium,deciduous,simple,112.485639,166.9386667,0.337071158,0.18248994,-29.594459,0.09779758,2.05958071,47.5426293,23.697082,19.4922266,486.132983,0.033036404,windOrGravity,20.6,0.612560895,1.597520648
Boraginaceae,Cordia,alliodora,deciduous,simple,105.184876,41.60583333,0.389024012,0.55061311,-28.299073,0.13376013,3.15054746,44.4059363,14.4900375,22.9741148,331.9818566,0.008675,windOrGravity,29.7,0.243941898,4.792561944
Boraginaceae,Cordia,colloccoca,semideciduous,simple,72.5708923,61.09333333,0.375540902,0.56101044,-27.551157,0.1016104,2.17736844,38.9503365,18.1158021,21.4109877,383.3302152,NA,animals,16.6,NA,NA
Boraginaceae,Cordia,panamensis,deciduous,simple,102.421323,186.9033333,0.393093922,0.37741587,-29.98429,0.1002553,2.50553902,41.7186254,16.6963745,25.0904622,416.1238897,0.072933333,animals,15.1,NA,NA
Dilleniaceae,Curatella,americana,semideciduous,simple,70.3239507,106.3288889,0.425583339,0.53635675,-28.660055,0.0662287,1.39571915,43.6094718,31.7634791,21.0647233,658.4678817,0.012681349,animals,6.8,NA,NA
Fabaceae,Dalbergia,retusa,deciduous,compound,67.699511,175.9783333,0.448367763,0.80318011,-27.75788,0.08398815,2.42959288,47.6382054,19.95109,32.1867219,567.2015088,0.068546667,windOrGravity,22.1,0.542184302,1.597520648
Sapindaceae,Dilodendron,costaricense,deciduous,compound,88.3422215,378.2222222,0.49691358,0.611793,-28.701588,0.08719207,2.25963513,50.6221662,22.6439302,25.9443429,580.5822273,NA,animals,20.4,NA,NA
Ebenaceae,Diospyros,nicaraguensis,semideciduous,simple,80.5778656,24.46444444,0.468932771,0.69111815,-30.706663,0.07879837,1.63658631,47.4454628,29.2846432,21.5677046,602.1122366,0.17828125,animals,11.9,0.109194735,9.242798035
Fabaceae,Enterolobium,cyclocarpum,deciduous,compound,145.50875,188.7,0.369730672,0.37691361,-31.377442,0.1008106,3.13967733,47.8086236,15.2639875,31.14431746,474.2420301,0.693499594,animals,36.1,0.439916306,1.597520648
Passifloraceae,Erblichia,odorata,evergreen,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,animals,20.2,NA,NA
Myrtaceae,Eugenia,monticola,deciduous,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,animals,15.2,NA,NA
Myrtaceae,Eugenia,salamensis,deciduous,simple,91.9389499,85.07888889,0.44373837,0.68466068,-30.663299,0.09559057,1.88296814,49.095016,26.4984164,19.9139801,513.5968537,NA,animals,15.5,NA,NA
Rubiaceae,Exostema,mexicana,deciduous,simple,229.514801,86.14111111,0.364296414,0.74561631,-31.643894,0.10322547,3.20754834,45.2714463,14.2607431,31.3783174,438.5685655,NA,animals,22.6,NA,NA
Rubiaceae,Genipa,americana,deciduous,simple,82.2539818,209.3093333,0.363994428,0.7263735,-28.733918,0.07852468,1.6214168,48.5544924,30.3173485,23.214839,618.3341645,0.037877562,all,14,0.167984302,6.709586721
Fabaceae,Gliricidia,sepium,deciduous,compound,137.817175,159.1866667,0.28708747,0.77574754,-28.523708,0.12528766,3.52562096,47.563698,13.5360143,24.576362,379.6359354,0.1017125,windOrGravity,18.1,0.071399728,10.86314041
Sterculiaceae,Guazuma,ulmifolia,deciduous,simple,87.5698686,40.58388889,0.438523881,0.7371692,-30.095312,0.10111253,2.09007491,46.2742487,22.3458973,20.6757213,457.6509825,0.004559617,animals,22,0.242350546,3.921187045
Rubiaceae,Guettarda,macrosperma,deciduous,simple,123.821425,36.605,0.385467819,0.64856918,-28.951756,0.09430183,2.25136702,48.5279762,21.654873,23.2914611,514.6026986,NA,animals,16.8,NA,NA
Fabaceae,Hymenaea,courbaril,semideciduous,compound,69.4477664,26.44444444,0.512106894,0.83893843,-28.651364,0.0965563,1.78498975,51.1139453,28.9036238,18.5610584,529.3693451,3.493341667,animals,31.3,NA,NA
